"","DEG","up.results_OO_RO_padj.1","down.results_OO_RO_padj.1"
"203","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07613"
"204","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07614"
"205","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07623"
"206","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07624"
"207","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07630"
"208","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07975"
"209","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07986"
"210","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig07994"
"211","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08002"
"212","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08036"
"213","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08074"
"214","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08082"
"215","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08102"
"216","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08124"
"217","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08163"
"218","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08197"
"219","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08247"
"220","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08272"
"221","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08372"
"222","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08396"
"223","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08488"
"224","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08520"
"225","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08527"
"226","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08613"
"227","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08675"
"228","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08709"
"229","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08710"
"230","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08854"
"231","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08894"
"232","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08920"
"233","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08921"
"234","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08936"
"235","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08974"
"236","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig08989"
"237","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09012"
"238","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09068"
"239","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09127"
"240","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09172"
"241","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09321"
"242","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09374"
"243","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09448"
"244","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09499"
"245","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09502"
"246","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09566"
"247","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09578"
"248","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09603"
"249","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09605"
"250","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09643"
"251","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09664"
"252","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09701"
"253","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09724"
"254","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09761"
"255","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09767"
"256","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09783"
"257","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09786"
"258","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09810"
"259","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09814"
"260","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig09900"
"261","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10001"
"262","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10031"
"263","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10122"
"264","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10135"
"265","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10146"
"266","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10174"
"267","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10374"
"268","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10385"
"269","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10456"
"270","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10459"
"271","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10493"
"272","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10530"
"273","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10549"
"274","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10558"
"275","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10606"
"276","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10647"
"277","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10734"
"278","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10809"
"279","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10812"
"280","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10821"
"281","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10828"
"282","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10832"
"283","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10835"
"284","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10840"
"285","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10884"
"286","Down",NA,"Siderastrea_Mexico_Barshis-Radice_Host_contig10900"
